mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType
24,Herdade do Montinho,,Lusitania,Portugal,Beja,Alentejo,,,POR 11,538,197.6,99.6,37.86304358,-8.160350225,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Pyrite,,
25,Jales,,Hispania Tarraconensis,Portugal,Vila Real,Trás-os-montes,,NP-08,POR 44,88,245.6,499.7,41.46531351,-7.587303241,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 198",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,Primary,Selective - Extensive
26,Juliana,,Lusitania,Portugal,Beja,Alentejo,,,POR 6,530,207.7,104.5,37.90716138,-8.045521077,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 62,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
27,Lagares,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-13,,,,,41.807087,-7.455047,1000,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
28,Macedinho,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-15,,,,,41.405245,-7.104955,2000,Google Earth,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Sanchez-Palencia and Orejas 1994, 199",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Extensive
29,Malhada,,Hispania Tarraconensis,Portugal,Aveiro,Beiras,,,POR 1,175,177.4,419.2,40.74143642,-8.400695101,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 42,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Hard rock,,
30,Meimoa,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 18,248,286,359.5,40.19973244,-7.123086066,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,Tertiary alluvium,,
32,Milreu,,Hispania Tarraconensis,Portugal,Santarem,Beiras,,,POR 35,311,199.2,294.5,39.61872097,-8.142422005,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,,,,,,,,,,,Tertiary alluvium,,
33,Mina da Cabranca,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-07,,,,,41.012513,-8.361867,200,Carvalho and da Veiga Ferreira 1954,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Carvalho and da Veiga Ferreira 1954; Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
34,Mina do Bugalho,,Hispania Baetica,Portugal,Évora,Picos de Aroche,,,POR 21,441,270.9,191.1,38.68452182,-7.318251199,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
35,Mina do Portal,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-06,,,,,41.039901,-8.404394,300,Carvalho and da Veiga Ferreira 1954,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Carvalho and da Veiga Ferreira 1954; Sanchez-Palencia and Orejas 1994, 198",,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Primary,Selective
36,Minancos,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 5,503,286.9,133.5,38.16428271,-7.141500915,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
37,Monfortinho 1,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.1,271,307.5,339,40.01267954,-6.874035303,,,"Location is actually slightly to the N of this point, at confluence of rio Erges and ribeiro do Segundo Areijo",,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Quaternary terrace,,
38,Monfortinho 2,,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.2,271,307.5,339,40.01267954,-6.874035303,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Quaternary terrace,,
39,Monfortinho 3 (Fonte Santa),,Hispania Tarraconensis,Portugal,Castelo Branco,Beiras,,,POR 17.3,271,307.2,337.2,39.99651051,-6.877844815,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 41,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,Quaternary terrace,,
40,Monte Judeu,,Hispania Baetica,Portugal,Beja,Picos de Aroche,,,POR 9,524,268.5,119.9,38.04335366,-7.352737619,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 61,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Hard rock,Primary,
41,Noreia,,Noricum,Austria,,Magdalensberg,,,,,,,46.7,14.433333,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Hirt 2010: 53-56,,,,,,,,,,,,,
42,Stavelot,,Gallia Belgica,Belgium,,Ardennes,,,,,,,50.3833,5.9333,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 2008: 81-82.,,,,,,,,,,,,,
43,Fojnica,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Fojnička valley,,,,,,,43.96457969,17.90229284,100,"Google satellite and von Foullon map, georeferenced.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,von Foullon 1893; Davies 1935: 186-187; Hirt 2010: 72-74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,
45,Japra,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Japra Valley,,,,,,,45.0306,16.4572,,,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,Davies 1935: 185-186; Hirt 2010: 56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
46,Kreševo,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Mt Vranica,,,,,,,43.866667,18.05,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Davies 1935: 186-187; Hirt 2010: 72-74,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,
47,Ostružnica,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Mt Vranica,,,,,,,43.96903626,17.94124929,100,"Placename on Google Earth, adjusted for von Foullon 1893 fig. 4, georeferenced.",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,Davies 1935: 186-187; Hirt 2010: 72-74.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,
48,Rosinj,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Mt Vranica,,,,,,,43.94924716,17.68901931,500,"Placename on Google Earth, adjusted for S. slope.",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"60-70 opencast pits on the S. slope of Rosinj and Devetak. No ore found, so probably prospection pits. The scale and number of the pits in a difficult location suggests Roman workings, contemporary with the exploitation of the alluvial deposits, and in a search for primary deposits, (For the hydraulic works, see Zlatno Guvno)","von Foullon 1893; Glicksman 2009: 99-101, 103",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
49,Uložnica,,Dalmatia,Bosnia and Herzegovina,Central Bosnia,Mt Vranica,,,,,,,43.9856004,17.68736147,100,"Placename on Mapcarta, adjusted from satellite imagery",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Two banks of debris, 50 m wide and 10 m high, running for c. 1 km; also 31 opencast pits about 3–5 m diameter. Von Foullon 1893 description seems to indicate that this is opencast mining. Bordeaux 1904, 117, says there was an aqueduct from the Suhodol spring.","Walter 1887: 154; von Foullon 1893, 22-23; Bordeaux 1904, 117 ; Glicksman 2009: 101-3",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
50,Agrokipia,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.044444,33.155,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2003,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
51,Apliki,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.930833,33.116944,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
52,Asproyia,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.921944,32.615556,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
53,Ayios Mamas,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.85,32.95,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
54,Kalavassos,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.916667,33.633333,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
55,Kambia,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.825,32.741667,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
56,Kynousa,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.031321,32.509186,2000,"Placename, Google Earth",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
57,Limni,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.050736,32.461181,300,Google Earth,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
58,Mathiatis,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.962778,33.336111,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
59,Mavrovouni,,Cyprus,Northern Cyprus,,Troodos Mountains,,,,,,,35.114088,32.835988,2000,Guessed from Google Earth and www.moa.gov.cy/moa/gsd/gsd.nsf/All/.../AnnexII_GeologicalHeritage_Revised.pdf,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
60,Mazokambos,,Cyprus,Northern Cyprus,,Troodos Mountains,,,,,,,35.091672,32.829169,500,"http://cy.geoview.info/mazokambos,16544",,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
61,Mitsero,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.042222,33.126944,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
62,Sha,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,34.954722,33.39,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
63,Skouriotissa,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.091111,32.884722,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Orejas 2001,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
64,Troulli,,Cyprus,Cyprus,,Troodos Mountains,,,,,,,35.030848,33.616178,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Domergue 1990: 44-48,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
65,Abu Zawal,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,26.666667,33.233333,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
67,Atalla,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,26.154323,33.504118,1000,"Taman 1996, 1",,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
69,Bir Umm Fawakhir,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,26.010142,33.608432,0,Google Earth,,400,600,400,650,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"A Byzantine-period gold mining site surveyed by archaeologists in detail. 216 buildings have been identified housing an estimated labour force of 1,000.  Now heavily destroyed and damaged by modern mining.",Meyer 1995a; 1995b; 1997; 1998; 2002; 2003,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
71,Dunqash,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,24.933333,33.866667,1500,"Google Earth, adjusted from dare.ht.lu.se/places/30581",,-550,-550,300,300,Egyptian / Ptolemaic / Roman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
73,Gelli,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,24.52044,34.74244,2000,"	dare.ht.lu.se/places/30583",,-30,-30,640,640,Roman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
74,Persou,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,25.950983,33.568897,2000,https://www.trismegistos.org/place/2837,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
75,Samut,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,24.8394,33.9488,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
76,Siqdit,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,25.45094,34.06704,2000,"	dare.ht.lu.se/places/30602",,-330,-330,640,640,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
77,Sukkari,,Aegyptus,Egypt,Eastern Desert,Eastern Desert,,,,,,,24.952795,34.711604,0,"	dare.ht.lu.se/places/30603 / Google Earth",,-330,-330,640,640,Ptolemaic / Roman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
